created_at,id,text,hashtags,urls,source,in_reply_to_status_id,usr_id,usr_name,screen_name,usr_location,usr_url,protected,followers_count,friends_count,usr_created,geo_enabled,verified,usr_lang,geo,id,place_type,name,country_code,retweet_count,favorite_count,favorited,lang
Sat Apr 27 22:03:06 +0000 2019,1122259906290077696,if i move like molasses on stage today it’s cause I ate like it was a professional sport yesterday ok… https://t.co/HqbiILCvwn,[],['https://twitter.com/i/web/status/1122259906290077696'],"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,21447363,KATY PERRY,katyperry,,https://t.co/VxeqPgXTF4,False,107267543,216,Fri Feb 20 23:45:56 +0000 2009,True,True,en,"{'type': 'Point', 'coordinates': [29.98361682, -90.08123875]}",dd3b100831dd1763,city,New Orleans,US,357,2514,False,en
Sat Apr 27 17:54:00 +0000 2019,1122197215190056961,Oh Happy Day! See you at #jazzfest at 5:40 on the main stage today 💘 @ New Orleans Jazz &amp; Heritage Festival https://t.co/XgH45iGlcz,['jazzfest'],['https://www.instagram.com/p/BwxJfnIn3V8/?utm_source=ig_twitter_share&igshid=m0cnxe1uxzal'],"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,21447363,KATY PERRY,katyperry,,https://t.co/VxeqPgXTF4,False,107267543,216,Fri Feb 20 23:45:56 +0000 2009,True,True,en,"{'type': 'Point', 'coordinates': [29.98361682, -90.08123875]}",dd3b100831dd1763,city,New Orleans,US,464,3629,False,en
Sat Apr 27 06:14:23 +0000 2019,1122021151113392128,always takes the road less traveled... @ New Orleans Jazz &amp; Heritage Foundation https://t.co/hhFFt4IkzT,[],['https://www.instagram.com/p/Bwv5_zPn1dD/?utm_source=ig_twitter_share&igshid=g80xlkv1tnhq'],"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,21447363,KATY PERRY,katyperry,,https://t.co/VxeqPgXTF4,False,107267543,216,Fri Feb 20 23:45:56 +0000 2009,True,True,en,"{'type': 'Point', 'coordinates': [29.96496435, -90.06473404]}",dd3b100831dd1763,city,New Orleans,US,500,4672,False,en
Fri Apr 26 18:48:27 +0000 2019,1121848533231923200,"And so we will tomorrow, no doubt ✨
#jazzfest @ New Orleans Jazz &amp; Heritage Festival https://t.co/Isxf2sK8ua",['jazzfest'],['https://www.instagram.com/p/BwurglpnIXl/?utm_source=ig_twitter_share&igshid=58gyz625oss2'],"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,21447363,KATY PERRY,katyperry,,https://t.co/VxeqPgXTF4,False,107267543,216,Fri Feb 20 23:45:56 +0000 2009,True,True,en,"{'type': 'Point', 'coordinates': [29.98361682, -90.08123875]}",dd3b100831dd1763,city,New Orleans,US,512,4491,False,en
Thu Apr 25 22:40:28 +0000 2019,1121544533802725376,I’m here for @instagram retiring the like button 👍🏻,[],[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,21447363,KATY PERRY,katyperry,,https://t.co/VxeqPgXTF4,False,107267543,216,Fri Feb 20 23:45:56 +0000 2009,True,True,en,,,,,,2434,28458,False,en
Thu Apr 25 00:25:50 +0000 2019,1121208659252527105,hi are u comin to #jazzfest in nola I’m playing the main stage on saturday from 5:40-7pm x 💞 @ HEY GIRL https://t.co/A8yFKjo666,['jazzfest'],['https://www.instagram.com/p/BwqIhycHjNS/?utm_source=ig_twitter_share&igshid=1xhh6a6p0ki64'],"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,21447363,KATY PERRY,katyperry,,https://t.co/VxeqPgXTF4,False,107267543,216,Fri Feb 20 23:45:56 +0000 2009,True,True,en,"{'type': 'Point', 'coordinates': [10.7511374, 106.6920401]}",0079932b106eb4c9,admin,Ho Chi Minh,VN,687,6140,False,en
Tue Apr 23 19:34:10 +0000 2019,1120772873927495684,"Grab your basket 🧺 as it’s picnic day! We’ve got the recipe for a good time: 
Step 1⃣: Set up a blanket 
Step 2⃣: S… https://t.co/sB95azJccv",[],['https://twitter.com/i/web/status/1120772873927495684'],"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,21447363,KATY PERRY,katyperry,,https://t.co/VxeqPgXTF4,False,107267543,216,Fri Feb 20 23:45:56 +0000 2009,True,True,en,,,,,,615,5208,False,en
Mon Apr 22 22:45:58 +0000 2019,1120458753420201984,I am my wig https://t.co/J85rggg6h6,[],['https://twitter.com/SarahHudsonuvs/status/1120438716609253376'],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,21447363,KATY PERRY,katyperry,,https://t.co/VxeqPgXTF4,False,107267543,216,Fri Feb 20 23:45:56 +0000 2009,True,True,en,,,,,,3475,30473,False,en
Mon Apr 22 19:53:55 +0000 2019,1120415455804624897,"Happy Earth Day! 🌎
Love,
Your favorite little freak horse pony 🐴
#welovetheearth @lildickytweets https://t.co/gPZ3ESRS6W",['welovetheearth'],[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,21447363,KATY PERRY,katyperry,,https://t.co/VxeqPgXTF4,False,107267543,216,Fri Feb 20 23:45:56 +0000 2009,True,True,en,,,,,,3972,23197,False,en
Mon Apr 22 01:41:47 +0000 2019,1120140608931160065,Poor unfortunate Monday’s fer sure #Americanidol @AmericanIdol 😈 https://t.co/qZqyU44ZKw,['Americanidol'],['https://twitter.com/tomaskatycat/status/1120113815163678722'],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,21447363,KATY PERRY,katyperry,,https://t.co/VxeqPgXTF4,False,107267543,216,Fri Feb 20 23:45:56 +0000 2009,True,True,en,,,,,,1101,10614,False,en
